2023-08-09 21:45:37.613 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-09 21:45:37.646 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.008 s, sync=0.007 s, total=0.034 s; sync files=4, longest=0.003 s, average=0.002 s; distance=4391 kB, estimate=4391 kB
2023-08-09 21:45:38.501 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-09 21:45:38.525 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.006 s, sync=0.005 s, total=0.025 s; sync files=4, longest=0.002 s, average=0.001 s; distance=4391 kB, estimate=4391 kB
2023-08-09 21:46:27.393 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-09 21:46:27.415 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.006 s, total=0.022 s; sync files=4, longest=0.003 s, average=0.002 s; distance=4392 kB, estimate=4392 kB
2023-08-09 21:46:27.763 CEST [48164] FATAL:  database "prisma_migrate_shadow_db_a77de392-40e4-49fb-872e-67fd56c23970" does not exist
2023-08-09 21:46:27.763 CEST [48164] DETAIL:  It seems to have just been dropped or renamed.
2023-08-09 21:46:27.794 CEST [32672] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-08-09 21:51:27.423 CEST [7640] LOG:  checkpoint starting: time
2023-08-09 21:51:29.519 CEST [7640] LOG:  checkpoint complete: wrote 20 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.061 s, sync=0.016 s, total=2.096 s; sync files=16, longest=0.003 s, average=0.001 s; distance=50 kB, estimate=3957 kB
2023-08-09 23:12:59.164 CEST [7640] LOG:  checkpoint starting: time
2023-08-09 23:12:59.614 CEST [7640] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.426 s, sync=0.008 s, total=0.451 s; sync files=4, longest=0.003 s, average=0.002 s; distance=23 kB, estimate=3564 kB
2023-08-10 15:37:45.514 CEST [53944] LOG:  invalid length of startup packet
2023-08-10 15:37:46.660 CEST [48792] LOG:  invalid length of startup packet
2023-08-10 15:37:46.703 CEST [47016] LOG:  invalid length of startup packet
2023-08-10 15:37:46.743 CEST [44964] LOG:  invalid length of startup packet
2023-08-10 15:37:51.834 CEST [28332] LOG:  invalid length of startup packet
2023-08-10 15:38:21.920 CEST [54000] LOG:  invalid length of startup packet
2023-08-10 15:39:22.004 CEST [30512] LOG:  invalid length of startup packet
