2023-08-03 00:12:28.037 CEST [7640] LOG:  checkpoint starting: time
2023-08-03 00:12:29.162 CEST [7640] LOG:  checkpoint complete: wrote 11 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.099 s, sync=0.013 s, total=1.126 s; sync files=7, longest=0.004 s, average=0.002 s; distance=29 kB, estimate=1229 kB
2023-08-03 00:16:14.732 CEST [11628] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-08-03 00:16:15.297 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-03 00:16:15.322 CEST [7640] LOG:  checkpoint complete: wrote 16 buffers (0.1%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.006 s, sync=0.008 s, total=0.025 s; sync files=9, longest=0.002 s, average=0.001 s; distance=4347 kB, estimate=4347 kB
2023-08-03 00:16:15.839 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-03 00:16:15.858 CEST [7640] LOG:  checkpoint complete: wrote 6 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.006 s, total=0.019 s; sync files=6, longest=0.002 s, average=0.001 s; distance=4278 kB, estimate=4340 kB
2023-08-03 00:16:15.980 CEST [26880] FATAL:  database "prisma_migrate_shadow_db_5810a871-8080-419c-b642-aee7d0cbe703" does not exist
2023-08-03 00:16:15.980 CEST [26880] DETAIL:  It seems to have just been dropped or renamed.
2023-08-03 00:16:16.321 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-03 00:16:16.334 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.004 s, total=0.014 s; sync files=4, longest=0.002 s, average=0.001 s; distance=4278 kB, estimate=4334 kB
2023-08-03 00:17:15.139 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-03 00:17:15.154 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.004 s, total=0.016 s; sync files=4, longest=0.002 s, average=0.001 s; distance=4279 kB, estimate=4328 kB
2023-08-03 00:17:15.298 CEST [19412] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-08-03 00:22:15.167 CEST [7640] LOG:  checkpoint starting: time
2023-08-03 00:22:16.770 CEST [7640] LOG:  checkpoint complete: wrote 15 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.563 s, sync=0.019 s, total=1.603 s; sync files=14, longest=0.005 s, average=0.002 s; distance=53 kB, estimate=3901 kB
2023-08-03 00:26:06.312 CEST [36180] ERROR:  relation "public.Event" does not exist at character 13
2023-08-03 00:26:06.312 CEST [36180] STATEMENT:  INSERT INTO "public"."Event" ("event_time","username","ip_address","action","data","created_at") VALUES ($1,$2,$3,$4,$5,$6) RETURNING "public"."Event"."id", "public"."Event"."event_time", "public"."Event"."username", "public"."Event"."ip_address", "public"."Event"."action", "public"."Event"."data", "public"."Event"."created_at"
2023-08-03 00:27:15.773 CEST [7640] LOG:  checkpoint starting: time
2023-08-03 00:27:16.112 CEST [7640] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.325 s, sync=0.004 s, total=0.340 s; sync files=3, longest=0.003 s, average=0.002 s; distance=7 kB, estimate=3511 kB
2023-08-03 00:29:24.277 CEST [40388] ERROR:  relation "public.Event" does not exist at character 13
2023-08-03 00:29:24.277 CEST [40388] STATEMENT:  INSERT INTO "public"."Event" ("event_time","username","ip_address","action","data","created_at") VALUES ($1,$2,$3,$4,$5,$6) RETURNING "public"."Event"."id", "public"."Event"."event_time", "public"."Event"."username", "public"."Event"."ip_address", "public"."Event"."action", "public"."Event"."data", "public"."Event"."created_at"
2023-08-03 00:32:15.124 CEST [7640] LOG:  checkpoint starting: time
2023-08-03 00:32:15.820 CEST [7640] LOG:  checkpoint complete: wrote 7 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.639 s, sync=0.042 s, total=0.696 s; sync files=5, longest=0.031 s, average=0.009 s; distance=41 kB, estimate=3164 kB
2023-08-03 00:34:52.439 CEST [41312] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-08-03 00:34:53.018 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-03 00:34:53.049 CEST [7640] LOG:  checkpoint complete: wrote 12 buffers (0.1%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.009 s, sync=0.010 s, total=0.032 s; sync files=9, longest=0.002 s, average=0.002 s; distance=4313 kB, estimate=4313 kB
2023-08-03 00:34:53.691 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-03 00:34:53.720 CEST [7640] LOG:  checkpoint complete: wrote 7 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.008 s, sync=0.008 s, total=0.029 s; sync files=7, longest=0.002 s, average=0.002 s; distance=4285 kB, estimate=4310 kB
2023-08-03 00:34:54.329 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-03 00:34:54.342 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.004 s, total=0.013 s; sync files=4, longest=0.002 s, average=0.001 s; distance=4285 kB, estimate=4308 kB
2023-08-03 00:34:54.945 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-03 00:34:54.964 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.005 s, total=0.020 s; sync files=4, longest=0.002 s, average=0.002 s; distance=4285 kB, estimate=4306 kB
2023-08-03 00:34:55.091 CEST [4340] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-08-03 00:35:25.972 CEST [21644] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-08-03 00:35:26.541 CEST [7640] LOG:  checkpoint starting: immediate force wait
2023-08-03 00:35:26.572 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.007 s, sync=0.006 s, total=0.031 s; sync files=4, longest=0.002 s, average=0.002 s; distance=4286 kB, estimate=4304 kB
2023-08-03 00:35:27.323 CEST [7640] LOG:  checkpoint starting: immediate force wait
